"lon","lat"
-73.5842343,45.4767767
-157.8615682,21.3155434
101.975766,4.210484
-76.3055144,40.0378755
-86.4229702,32.4595218
-74.0840464,4.6381938
-95.895813,36.2070983
2.213749,46.227638
-74.0059728,40.7127753
139.7535951,35.6940027
-81.5157535,27.6648274
139.6281895,35.4601003
-97.7340567,30.2849185
-81.5157535,27.6648274
78.486671,17.385044
73.8567437,18.5204303
76.5761714,33.778175
135.5021651,34.6937378
139.6380256,35.4437078
139.7319925,35.7090259
139.3158056,35.6663394
32.5825197,0.3475964
135.5021651,34.6937378
-79.7455046,43.6932382
104.6257774,15.8656783
100.992541,15.870032
113.921327,-0.789275
102.083652,14.9738493
139.6917064,35.6894875
-79.9430128,40.4428081
116.3249438,-8.650979
141.3543763,43.0620958
-111.0937311,39.3209801
129.877667,32.7502856
-74.0059728,40.7127753
-74.0059728,40.7127753
-82.9000751,32.1656221
139.0604061,36.3906675
-77.3063733,38.8462236
138.252924,36.204824
139.3624889,35.4430818
121.774017,12.879721
-70.6619888,42.6159285
85.3239605,27.7172453
-95.8401425,36.1556473
101.686855,3.139003
139.485793,35.9251006
129.0756416,35.1795543
83.3955506,18.1066576
127.6809317,26.2124013
138.252924,36.204824
116.5800074,-8.8597034
101.090109,4.5921126
-110.8135688,27.9664523
-122.272747,37.8715926
-85.1393513,41.079273
174.885971,-40.900557
98.6722227,3.5951956
-76.6412712,39.0457549
3.3514863,6.601838
77.5945627,12.9715987
106.8650395,-6.17511
-71.1467684,41.7001247
-75.5276699,38.9108325
139.6917064,35.6894875
-95.9523912,36.1407932
-95.895813,36.2070983
4.8951679,52.3702157
-95.46588,29.814935
-73.2452103,-39.8195857
139.6917064,35.6894875
-75.4557303,43.2128473
-106.346771,56.130366
127.945404,26.501301
100.992541,15.870032
130.958688,32.6453356
-74.4056612,40.0583238
-121.4943996,38.5815719
139.7319925,35.7090259
-71.542969,-35.675147
77.2090212,28.6139391
139.4881528,35.7220535
-73.6376905,4.1513822
149.1300092,-35.2809368
103.1370142,5.329624
-64.7505,32.3078
77.2090212,28.6139391
-74.4056612,40.0583238
107.6191228,-6.9174639
-73.7948516,40.7282239
-95.712891,37.09024
104.0529207,1.1300779
138.252924,36.204824
-87.6297982,41.8781136
151.2092955,-33.8688197
107.6117308,-6.9210166
100.992541,15.870032
113.921327,-0.789275
121.774017,12.879721
40.4248192,21.2840782
-87.9064736,43.0389025
151.185206,-33.815743
-83.1057303,38.6812354
-92.0990046,46.8212085
-87.1638574,30.3571438
-96.6415971,32.8200643
-74.0059728,40.7127753
-80.2428373,43.1485748
113.921327,-0.789275
101.5613392,3.20933
-44.5550308,-18.512178
135.5021651,34.6937378
-159.3379818,22.0881391
3.3619356,7.147502
101.975766,4.210484
140.9090348,41.5340002
139.6245762,35.6326295
138.252924,36.204824
11.1094028,59.2840729
139.7319925,35.7090259
-79.2476925,43.1175731
-58.9855547,-27.4518622
-95.9883046,36.137384
78.486671,17.385044
120.960515,23.69781
132.7433068,34.4263804
139.6117108,35.7099736
-74.171811,40.9167654
83.9955879,28.237987
116.0734568,5.980408
-2.2426305,53.4807593
101.9378239,2.725889
-73.7633635,41.6495919
-95.712891,37.09024
101.5851192,3.0567333
126.9779692,37.566535
139.7024039,35.5298198
100.5017651,13.7563309
138.252924,36.204824
101.975766,4.210484
-3.74922,40.463667
-94.7047211,37.415476
77.5945627,12.9715987
137.119998,34.8806691
-85.207229,12.865416
-115.1398296,36.1699412
-60.0217314,-3.1190275
29.154857,-19.015438
-43.1728965,-22.9068467
140.4675514,37.7502986
-96.1103695,36.138286
120.989915,14.5163981
116.419389,0.5386586
-121.7405167,38.5449065
-94.8290785,38.8565306
101.5944885,3.1278871
72.8776559,19.0759837
139.8835651,36.565725
126.0893406,7.3041622
106.8650395,-6.17511
139.6458358,35.4428031
-71.8022934,42.2625932
139.8916751,35.6878214
133.775136,-25.274398
-106.346771,56.130366
140.8693558,38.268215
-94.285708,39.032558
113.921327,-0.789275
-52.3781098,-24.0436553
-119.4179324,36.778261
103.3184639,2.030068
139.903093,35.7876491
140.0766423,36.0834857
106.8650395,-6.17511
120.9842195,14.5995124
137.2604365,37.4363473
-79.3831843,43.653226
-97.7340567,30.2849185
100.5017651,13.7563309
-118.4571974,34.3058279
139.7515992,35.6580681
-43.1728965,-22.9068467
106.682188,-6.186116
77.3910265,28.5355161
139.6917064,35.6894875
7.3848556,9.1125097
-7.9892605,31.6317937
78.96288,20.593684
115.188916,-8.4095178
139.6423446,35.4475073
126.9779692,37.566535
-45.9420118,-22.2480373
-118.2436849,34.0522342
-78.680016,33.8160058
-79.3831843,43.653226
77.9802906,10.3673123
110.402376,-7.7325213
139.383201,35.352376
-87.6297982,41.8781136
139.6917064,35.6894875
107.6191228,-6.9174639
135.5196609,34.6862971
-58.3815591,-34.6036844
-94.201021,36.367294
-74.8459972,40.245664
-2.96083,53.4308294
88.363895,22.572646
-122.839498,49.191815
138.252924,36.204824
2.4970711,48.9412151
101.975766,4.210484
-96.7969879,32.7766642
101.975766,4.210484
-76.3452218,37.0298687
121.0571541,14.6177663
141.1268004,38.9346819
-79.6255752,43.6367671
-81.655651,30.3321838
-79.0192997,35.7595731
-87.516636,33.1564625
-2.2913401,53.4630589
-80.1917902,25.7616798
-122.272747,37.8715926
130.4017155,33.5903547
-77.0368707,38.9071923
-117.1610838,32.715738
121.774017,12.879721
